Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
2014-01-15 20.59.58,32.934,45.626,45.367,0.8101,0.5442
2014-01-15 21.59.58,32.934,45.626,45.367,0.6916,0.4911
2014-01-15 22.59.58,32.934,45.626,45.367,0.7124,0.4932
2014-01-15 23.59.58,25.871,42.478,14.114,0.4966,0.5053
2014-01-16 00.59.58,24.937,42.193,14.114,0.4543,0.5148
2014-01-16 01.59.58,24.937,42.193,14.114,0.4541,0.5534
2014-01-16 02.59.58,24.937,42.193,14.114,0.4873,0.5511
2014-01-16 03.59.58,24.937,42.193,14.114,0.6401,0.6821
2014-01-16 04.59.58,25.289,42.193,14.114,0.6619,0.7681
2014-01-16 05.59.58,26.522,42.478,13.784,0.7308,0.8591
2014-01-16 06.59.58,27.193,43.664,13.962,0.7482,0.8631
2014-01-16 07.59.58,26.522,43.237,13.905,0.7572,0.8627
2014-01-16 08.59.58,26.522,42.478,12.806,0.8519,0.895
2014-01-16 09.59.58,31.573,43.445,12.807,0.6856,0.739
2014-01-16 10.59.57,28.387,43.071,12.839,0.8628,0.8897
2014-01-16 11.59.57,26.661,42.52,12.839,0.9367,0.958
2014-01-16 12.59.57,26.522,42.277,12.839,0.956,0.9804
2014-01-16 13.59.57,26.522,42.193,12.839,0.9788,0.9872
2014-01-16 14.59.57,26.522,42.511,14.114,0.9962,0.9965
2014-01-16 15.59.57,26.522,42.511,14.114,0.9983,0.9994
2014-01-16 16.59.57,26.522,42.511,14.114,1,1
2014-01-16 17.59.57,26.522,42.354,14.114,1,1
2014-01-16 18.59.57,25.97,42.193,14.114,1,1
2014-01-16 19.59.57,25.97,42.193,14.114,1,1
2014-01-16 20.59.57,25.97,42.193,14.114,1,1
2014-01-16 21.59.57,25.513,42.193,14.114,1,1
2014-01-16 22.59.57,24.937,42.193,14.114,1,1
2014-01-16 23.59.57,30.156,44.06,17.357,0.9658,1
2014-01-17 00.59.57,30.156,44.06,17.357,0.9617,1
