Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised Production
2012-01-10 19.00.00,20.545,23.373,15.414,0.1144,0.3544
2012-01-10 20.00.00,20.461,23.373,15.414,0.1362,0.3978
2012-01-10 21.00.00,20.461,23.373,15.414,0.1832,0.4431
2012-01-10 22.00.00,20.461,23.373,15.414,0.1844,0.4535
2012-01-10 23.00.00,20.461,23.373,15.414,0.1539,0.5117
2012-01-11 00.00.00,22.603,14.642,4.581,0.6943,0.5868
2012-01-11 01.00.00,22.603,14.642,4.581,0.6491,0.5998
2012-01-11 02.00.00,22.603,14.642,4.581,0.626,0.6061
2012-01-11 03.00.00,22.603,14.642,4.581,0.5624,0.6022
2012-01-11 04.00.00,22.603,14.642,4.581,0.5107,0.5286
2012-01-11 05.00.00,23.152,14.642,4.581,0.542,0.5244
2012-01-11 06.00.00,24.475,15.305,4.202,0.6239,0.5557
2012-01-11 07.00.00,24.121,17.125,4.236,0.7687,0.6646
2012-01-11 08.00.00,23.608,17.311,4.276,0.908,0.8191
2012-01-11 09.00.00,23.118,15.192,3.67,0.8549,0.6735
2012-01-11 10.00.00,22.82,15.123,3.654,0.826,0.5522
2012-01-11 11.00.00,22.441,14.451,3.623,0.8341,0.5631
2012-01-11 12.00.00,22.314,13.72,3.623,0.7559,0.5339
2012-01-11 13.00.00,22.603,13.72,3.623,0.7316,0.5358
2012-01-11 14.00.00,23.454,14.047,3.688,0.7139,0.5433
2012-01-11 15.00.00,26.103,14.79,4.581,0.6488,0.4976
2012-01-11 16.00.00,23.817,14.79,4.581,0.5733,0.439
2012-01-11 17.00.00,23.559,14.79,4.581,0.4205,0.3231
2012-01-11 18.00.00,23.454,14.642,4.581,0.5489,0.3999
2012-01-11 19.00.00,23.118,14.642,4.581,0.6134,0.4103
2012-01-11 20.00.00,23.002,14.642,4.581,0.8135,0.5383
2012-01-11 21.00.00,22.603,14.642,4.581,0.8621,0.5998
2012-01-11 22.00.00,22.603,14.642,4.581,0.87,0.6622
2012-01-11 23.00.00,22.603,14.642,4.581,0.9357,0.7539
2012-01-12 00.00.00,21.908,15.041,4.849,0.8163,0.8257
2012-01-12 01.00.00,21.908,15.041,4.849,0.9564,0.9791
2012-01-12 02.00.00,21.908,15.041,4.849,0.9659,0.992
2012-01-12 03.00.00,21.908,15.041,4.849,0.9831,0.9961
2012-01-12 04.00.00,21.908,15.041,4.849,0.9981,1
2012-01-12 05.00.00,22.759,15.041,4.849,1,1
2012-01-12 06.00.00,24.973,14.862,4.448,1,1
2012-01-12 07.00.00,24.764,12.966,3.793,1,1
2012-01-12 08.00.00,23.402,13.026,3.793,1,1
2012-01-12 09.00.00,23.402,12.966,3.793,1,1
2012-01-12 10.00.00,23.402,12.738,3.747,1,1
2012-01-12 11.00.00,23.39,12.735,3.731,1,1
2012-01-12 12.00.00,22.759,12.735,3.731,1,1
2012-01-12 13.00.00,22.759,12.735,3.731,1,1
2012-01-12 14.00.00,22.759,12.735,3.747,0.9723,0.9823
2012-01-12 15.00.00,23.402,14.479,4.759,0.9662,0.9684
2012-01-12 16.00.00,23.478,15.041,4.849,0.9549,0.9611
2012-01-12 17.00.00,23.478,15.041,4.849,0.9545,0.9417
2012-01-12 18.00.00,23.402,15.041,4.849,0.9704,0.9462
2012-01-12 19.00.00,23.402,15.041,4.849,0.9755,0.9498
2012-01-12 20.00.00,22.194,15.96,4.849,0.9728,0.9651
2012-01-12 21.00.00,22.194,15.96,4.849,0.9666,0.959
2012-01-12 22.00.00,22.194,15.628,4.849,0.9081,0.8706
2012-01-12 23.00.00,22.194,15.459,4.849,0.8586,0.8397
2012-01-13 00.00.00,20.428,21.385,7.512,0.5193,0.8158
2012-01-13 01.00.00,20.428,21.385,7.512,0.6043,0.8756
2012-01-13 02.00.00,20.428,21.385,7.512,0.6164,0.8878
2012-01-13 03.00.00,20.428,21.385,7.512,0.6599,0.8948
2012-01-13 04.00.00,20.428,21.385,7.512,0.6791,0.9124
2012-01-13 05.00.00,21.658,21.385,7.512,0.6671,0.8727
2012-01-13 06.00.00,25.452,21.347,6.47,0.5386,0.7969
2012-01-13 07.00.00,28.33,25.099,7.736,0.4333,0.6866
2012-01-13 08.00.00,28.206,23.368,7.276,0.387,0.5564
2012-01-13 09.00.00,21.658,17.161,5.019,0.4336,0.5346
2012-01-13 10.00.00,20.165,16.433,3.748,0.358,0.3898
2012-01-13 11.00.00,19.154,15.837,3.748,0.3769,0.4365
2012-01-13 12.00.00,19.154,15.837,3.748,0.4584,0.5792
2012-01-13 13.00.00,19.154,15.837,3.748,0.5608,0.7022
2012-01-13 14.00.00,20.428,16.433,5.904,0.6704,0.7658
2012-01-13 15.00.00,22.489,21.385,7.512,0.6121,0.7453
2012-01-13 16.00.00,22.489,21.385,7.512,0.5647,0.7258
2012-01-13 17.00.00,22.489,21.385,7.512,0.434,0.6721
2012-01-13 18.00.00,22.489,21.385,7.512,0.3853,0.6677
2012-01-13 19.00.00,22.118,21.385,7.512,0.3717,0.6506
2012-01-13 20.00.00,21.658,21.385,7.512,0.401,0.6206
2012-01-13 21.00.00,21.658,21.385,7.512,0.3895,0.6047
2012-01-13 22.00.00,21.175,21.385,7.512,0.4849,0.8021
2012-01-13 23.00.00,20.438,21.385,7.512,0.4676,0.7785
2012-01-14 00.00.00,24.947,44.411,43.54,0.5995,0.7155
2012-01-14 01.00.00,24.947,44.411,43.54,0.4889,0.6838
2012-01-14 02.00.00,24.947,44.411,43.54,0.3917,0.5974
2012-01-14 03.00.00,24.947,44.411,43.54,0.3344,0.4704
2012-01-14 04.00.00,24.947,44.411,43.54,0.2811,0.4131
2012-01-14 05.00.00,24.947,44.411,43.54,0.2906,0.3698
2012-01-14 06.00.00,26.297,44.411,43.54,0.2144,0.302
2012-01-14 07.00.00,27.197,45.285,43.54,0.1286,0.225
2012-01-14 08.00.00,27.618,45.629,43.088,0.0809,0.1781
2012-01-14 09.00.00,27.197,40.317,40.156,0.063,0.1626
2012-01-14 10.00.00,27.427,40.317,38.823,0.0821,0.1537
2012-01-14 11.00.00,27.693,40.317,38.823,0.0892,0.1734
2012-01-14 12.00.00,28.601,40.384,39.075,0.1333,0.1698
2012-01-14 13.00.00,28.739,42.042,40.367,0.1611,0.1509
2012-01-14 14.00.00,29.635,44.411,42.027,0.1671,0.1394
2012-01-14 15.00.00,31.36,47.613,43.54,0.1638,0.142
2012-01-14 16.00.00,32.383,47.775,43.54,0.133,0.1447
2012-01-14 17.00.00,34.07,48.044,43.54,0.1213,0.1381
2012-01-14 18.00.00,34.454,48.435,43.63,0.0976,0.1271
2012-01-14 19.00.00,34.454,48.801,43.63,0.0842,0.1192
2012-01-14 20.00.00,34.454,49.422,43.63,0.1353,0.1101
2012-01-14 21.00.00,36.008,49.473,44.331,0.1892,0.1127
2012-01-14 22.00.00,34.454,49.473,44.164,0.1956,0.1325
2012-01-14 23.00.00,36.008,49.473,44.546,0.1412,0.071
2012-01-15 00.00.00,39.221,74.165,48.803,0.2147,0.0395
2012-01-15 01.00.00,39.221,74.723,48.803,0.1877,0.0155
2012-01-15 02.00.00,39.221,75.532,48.803,0.229,0.0173
2012-01-15 03.00.00,39.221,75.532,48.803,0.185,0.0044
2012-01-15 04.00.00,39.221,75.532,48.803,0.2279,0.0087
2012-01-15 05.00.00,39.221,75.532,48.803,0.229,0.02
2012-01-15 06.00.00,40.325,75.532,48.803,0.2895,0.0407
2012-01-15 07.00.00,47.649,96.889,48.803,0.3387,0.0427
2012-01-15 08.00.00,40.613,69.358,46.816,0.3752,0.0488
2012-01-15 09.00.00,39.072,50.704,43.392,0.3451,0.0558
2012-01-15 10.00.00,36.872,49.267,42.324,0.2857,0.0408
2012-01-15 11.00.00,36.052,49.267,42.324,0.3775,0.0833
2012-01-15 12.00.00,36.052,49.267,42.324,0.4636,0.112
2012-01-15 13.00.00,36.052,49.267,42.333,0.5722,0.1198
2012-01-15 14.00.00,38.991,51.981,45.423,0.5571,0.1001
2012-01-15 15.00.00,40.594,74.165,48.803,0.604,0.1045
2012-01-15 16.00.00,55.802,74.165,48.803,0.5865,0.1049
2012-01-15 17.00.00,55.742,74.165,48.803,0.6259,0.1072
2012-01-15 18.00.00,53.078,74.165,48.803,0.5714,0.1082
2012-01-15 19.00.00,50.884,74.165,48.803,0.5447,0.1051
2012-01-15 20.00.00,40.325,74.165,48.803,0.5807,0.1041
2012-01-15 21.00.00,39.868,74.165,48.803,0.5685,0.086
2012-01-15 22.00.00,39.426,74.165,48.803,0.5194,0.1116
2012-01-15 23.00.00,38.716,74.165,48.803,0.4024,0.1065
2012-01-16 00.00.00,61.501,78.974,53.232,0.2358,0.1174
2012-01-16 01.00.00,61.501,78.974,53.232,0.2711,0.1263
2012-01-16 02.00.00,61.501,78.974,53.232,0.3484,0.1308
2012-01-16 03.00.00,61.501,78.974,53.232,0.4036,0.1445
2012-01-16 04.00.00,61.501,78.974,53.232,0.4355,0.1626
2012-01-16 05.00.00,61.501,80.764,53.232,0.4521,0.1928
2012-01-16 06.00.00,65.446,88.67,45.289,0.5174,0.23
2012-01-16 07.00.00,78.487,88.025,45.256,0.5212,0.2545
2012-01-16 08.00.00,64.585,66.956,40.744,0.4624,0.2577
2012-01-16 09.00.00,45.067,51.771,30.238,0.4049,0.2455
2012-01-16 10.00.00,41.364,49.508,29.881,0.3811,0.2542
2012-01-16 11.00.00,41.364,49.508,29.881,0.3918,0.2724
2012-01-16 12.00.00,41.364,49.508,29.881,0.4262,0.3037
2012-01-16 13.00.00,43.47,49.54,29.881,0.4998,0.3139
2012-01-16 14.00.00,46.806,50.798,33.241,0.5012,0.335
2012-01-16 15.00.00,60.115,53.426,52.881,0.5422,0.3518
2012-01-16 16.00.00,60.308,76.847,53.232,0.6053,0.3597
2012-01-16 17.00.00,60.115,77.793,53.232,0.6669,0.3807
2012-01-16 18.00.00,66.455,77.793,53.232,0.6106,0.3283
2012-01-16 19.00.00,65.839,77.793,53.232,0.5262,0.2794
2012-01-16 20.00.00,63.896,77.793,53.232,0.3778,0.2376
2012-01-16 21.00.00,62.678,77.793,53.232,0.3374,0.2306
2012-01-16 22.00.00,60.115,77.793,53.232,0.3087,0.221
2012-01-16 23.00.00,60.115,77.793,53.232,0.2625,0.1576
2012-01-17 00.00.00,70.361,96.398,57.768,0.0786,0.1037
2012-01-17 01.00.00,70.361,96.398,57.768,0.0284,0.0626
2012-01-17 02.00.00,70.361,96.398,57.768,0.015,0.0418
2012-01-17 03.00.00,71.86,96.398,57.768,0.0169,0.0374
2012-01-17 04.00.00,73.21,96.398,57.768,0.0095,0.0328
2012-01-17 05.00.00,93.691,97.505,57.768,0,0.0318
2012-01-17 06.00.00,97.086,99.05,54.912,0,0.0236
2012-01-17 07.00.00,111.679,125.274,60.395,0,0.009
2012-01-17 08.00.00,102.388,93.064,56.173,0,0
2012-01-17 09.00.00,90.369,67.151,47.586,0,0
2012-01-17 10.00.00,72.697,66.306,46.953,0,0
2012-01-17 11.00.00,71.314,56.806,44.912,0,0
2012-01-17 12.00.00,71.1,56.806,43.267,0,0
2012-01-17 13.00.00,71.373,56.806,43.267,0,0.0117
2012-01-17 14.00.00,78.968,57.364,43.267,0,0.0305
2012-01-17 15.00.00,92.957,96.398,57.749,0,0.0306
2012-01-17 16.00.00,102.494,100.492,57.768,0,0.0169
2012-01-17 17.00.00,102.494,97.769,57.768,0,0.0106
2012-01-17 18.00.00,100.7,97.138,57.768,0,0.0475
2012-01-17 19.00.00,90.774,96.398,57.768,0.0149,0.1013
2012-01-17 20.00.00,77.668,96.398,57.768,0.0114,0.0962
2012-01-17 21.00.00,71.86,96.398,57.768,0.0153,0.0884
2012-01-17 22.00.00,70.361,96.398,57.768,0.0859,0.1339
2012-01-17 23.00.00,70.361,96.398,57.768,0.1074,0.1311
2012-01-18 00.00.00,36.8,46.272,14.833,0.2455,0.1385
2012-01-18 01.00.00,35.256,46.272,14.833,0.2416,0.1454
2012-01-18 02.00.00,34.932,46.047,14.833,0.2217,0.1352
2012-01-18 03.00.00,34.827,45.07,14.833,0.2585,0.1643
2012-01-18 04.00.00,34.932,45.673,14.833,0.244,0.1489
2012-01-18 05.00.00,35.269,46.42,14.833,0.2291,0.1194
2012-01-18 06.00.00,38.339,46.947,14.819,0.306,0.1395
2012-01-18 07.00.00,44.703,47.087,15.122,0.3493,0.161
2012-01-18 08.00.00,35.731,45.175,14.833,0.3274,0.1566
2012-01-18 09.00.00,33.882,39.981,13.938,0.3629,0.1806
2012-01-18 10.00.00,33.721,39.883,13.311,0.4385,0.1912
2012-01-18 11.00.00,33.206,38.349,13.311,0.5362,0.2585
2012-01-18 12.00.00,31.891,37.539,13.311,0.6594,0.3304
