HA production forecast,Realised Balancing Price,System Signal 
0.0193,42.37399983,1
0.1066,42.72554739,1
0.184,34.991,0
0.1348,34.991,0
0.3287,34.879,0
0.4534,35.119,0
0.4235,35.096,0
0.6704,210.4116147,1
0.8227,34.402,0
0.9288,34.128,0
0.845,33.821,0
0.3511,33.331,0
0.3753,33.331,0
0.4916,33.331,0
0.3882,33.646,0
0.4187,33.646,0
0.4309,35.012,0
0.3917,34.333,0
0.3569,34.016,0
0.3115,34.016,0
0.1755,34.016,0
0.0674,210.4116147,1
0.0814,34.016,1
0.0945,33.201,0
0.125,33.201,0
0.1224,33.201,0
0.1262,210.4116147,1
0.1916,210.4116147,1
0.1913,210.4116147,1
0.1229,210.4116147,1
0.0663,210.4116147,1
0.1124,210.4116147,1
0.189,210.4116147,1
0.3367,210.4116147,1
0.4065,210.4116147,1
0.3332,42.53625255,1
0.2832,42.72554739,1
0.2184,210.4116147,1
0.258,210.4116147,1
0.1587,35.106,0
0.175,0,0
0.2158,38.747,0
0.1972,39.253,1
0.1578,37.917,0
0.1452,0,0
0,0,0
0.0097,35.535,0
0.0311,210.4116147,1
0.0423,210.4116147,1
0.0005,210.4116147,1
0.0048,210.4116147,1
0,45.847,1
0,45.847,1
0,46.308,1
