time,Spot price 2025,Spot price 2035,Spot price 2045,DA forecast,Realised production
19/01/1985 17.00,136.656,185.352,183.36,0,0
19/01/1985 18.00,127.715,185.352,183.36,0,0
19/01/1985 19.00,104.014,162.74,183.36,0,0.0039
19/01/1985 20.00,103.773,162.74,183.36,0.0422,0.0223
19/01/1985 21.00,101.889,162.74,183.36,0.0997,0.0356
19/01/1985 22.00,101.436,162.74,183.36,0.0677,0.0214
19/01/1985 23.00,101.113,162.74,183.36,0.0963,0.0311
20/01/1985 00.00,91.927,139.823,107.46,0.2347,0.0533
20/01/1985 01.00,91.927,139.823,107.46,0.2609,0.0559
20/01/1985 02.00,91.927,139.823,107.46,0.2836,0.0588
20/01/1985 03.00,91.927,139.435,107.46,0.3627,0.0776
20/01/1985 04.00,91.587,139.2,107.46,0.4016,0.1017
20/01/1985 05.00,91.927,139.2,107.46,0.37,0.1052
20/01/1985 06.00,91.927,139.2,107.46,0.3759,0.0924
20/01/1985 07.00,91.927,139.2,107.46,0.4073,0.0772
20/01/1985 08.00,90.256,136.646,105.887,0.3969,0.0674
20/01/1985 09.00,77.198,90.048,68.413,0.3517,0.0606
20/01/1985 10.00,56.003,70.265,68.413,0.268,0.0306
20/01/1985 11.00,54.429,67.323,68.413,0.2821,0.0219
20/01/1985 12.00,54.429,67.323,68.413,0.2293,0
20/01/1985 13.00,57.182,70.265,69.429,0.2467,0
20/01/1985 14.00,77.025,90.674,76.37,0.2863,0
20/01/1985 15.00,80.25,139.2,107.46,0.3216,0
20/01/1985 16.00,83.629,139.2,107.46,0.3154,0
20/01/1985 17.00,79.798,139.2,107.46,0.3604,0
20/01/1985 18.00,62.173,139.118,107.46,0.2915,0.0051
20/01/1985 19.00,58.695,136.646,107.46,0.3548,0.0233
20/01/1985 20.00,57.941,136.646,107.46,0.4493,0.0518
20/01/1985 21.00,57.941,136.646,107.46,0.5305,0.0713
20/01/1985 22.00,57.941,136.646,107.46,0.4191,0.0626
20/01/1985 23.00,57.941,136.646,107.46,0.3319,0.0618
21/01/1985 00.00,36.428,49.238,54.702,0.1865,0.0719
21/01/1985 01.00,35.779,49.867,54.702,0.1802,0.0492
21/01/1985 02.00,35.26,49.516,54.702,0.2369,0.0468
21/01/1985 03.00,35.618,49.38,54.702,0.2622,0.0517
21/01/1985 04.00,36.511,50.159,54.702,0.2574,0.057
21/01/1985 05.00,37.674,50.246,54.702,0.2774,0.0876
21/01/1985 06.00,38.686,50.842,54.643,0.3355,0.1272
21/01/1985 07.00,42.74,51.895,54.882,0.3457,0.1527
21/01/1985 08.00,38.489,50.171,54.658,0.3116,0.1613
21/01/1985 09.00,36.31,49.785,53.117,0.2696,0.153
21/01/1985 10.00,35.463,48.943,53.117,0.271,0.1754
21/01/1985 11.00,35.077,48.511,53.117,0.2897,0.1952
